Firstname,Lastname,Affiliation,SWE_WG_Member,SWE_WG_Alumni,MMRM,HTA,bayesian_mmrm,SSD
Alessandro,Gasparini,Red Door Analytics,1,0,0,0,0,0
Andy,Miskell,Eli Lilly,0,1,0,0,0,0
Ben,Arancibia,GSK,1,0,0,0,0,0
Brian,Lang,MSD,1,0,1,0,0,0
Christian,Stock,Boehringer Ingelheim,1,0,0,0,1,0
Colin,Gillespie,Jumping Rivers,1,0,0,0,0,0
Daniel,Leibovitz,Independent,0,1,0,0,0,0
Daniel,Sabanes Bove,RCONIS,1,0,1,0,0,1
Dong,Xi,Gilead Sciences,0,1,0,0,0,0
Friedrich,Pahlke,RPACT,1,0,0,0,0,0
Inka,Spyridonov,BASF,1,0,0,0,0,0
Jian,Wang,Eli Lilly,0,1,0,0,0,0
Keaven,Anderson,Merck,1,0,0,0,0,0
Kevin,Kunzmann,Boehringer Ingelheim,0,1,1,0,1,0
Kush,Kapur,argenx,1,0,0,0,0,0
Peikun,Wu,R&G US,0,1,0,0,0,0
Ron,Yu,Gilead Sciences,0,1,0,0,0,0
Will,Landau,Eli Lilly,1,0,0,0,1,0
Ya,Wang,Gilead Sciences,1,0,1,0,0,0
Liming,Li,AstraZeneca,1,0,1,0,0,0
Julia,Dedic,Roche,0,1,0,0,0,0
Joe,Rickert,RStudio & R Consortium,0,1,0,0,0,0
Michelle,Zhang,Stealth Bio,1,0,0,0,0,0
Jack,Talboys,Novartis,1,0,0,0,0,0
Andrew,Bean,Novartis,1,0,0,0,1,0
Terri,Johnson,Edwards Lifesciences,0,1,0,0,0,0
Yoni,Sidi,Sanofi,0,1,1,0,1,0
Vitaly,Druker,AstraZeneca,0,1,0,0,0,0
Juliane,Manitz,Independent,1,0,0,0,0,0
Pascal,Kieslich,Merck KGaA,1,0,0,0,0,0
Songgu,Xie,Regeneron,0,1,0,0,0,0
Ryan,Wang,Johnson & Johnson,0,1,0,0,0,0
Gregory,Chen,MSD,1,0,0,1,0,0
Laura,Harris,Mirum,1,0,0,0,0,0
Colombe,Chappey,Pfizer,1,0,0,0,0,0
Martin,Kappler,Cytel,0,1,0,0,0,0
Pravin,Madhavan,Berry Consultants,1,0,0,0,0,0
Nick,Berry,Berry Consultants,0,1,0,0,0,0
Quang,Nguyen,Regeneron,1,0,0,0,0,0
Wilmar,Igl,ICON,1,0,0,0,0,0
Clara,Beck,Bayer,0,1,0,0,0,0
Isaac,Gravestock,Roche,1,0,0,1,0,0
Christos,Kokaliaris,Roche,0,0,0,1,0,0
Michael,Seo,Roche,0,0,0,1,0,0
Miranta,Antoniou,Roche,0,0,0,1,0,0
Rossella,Belleli,Roche,0,0,0,1,0,0
Cedric,Revil,MSD,0,0,0,1,0,0
Chrysostomos,Kalyvas,MSD,0,0,0,1,0,0
Henrik,Thomsen,Novo Nordisk,1,0,0,0,0,0
Yann,Féat,mainanalytics,0,1,0,0,0,0
Sergio,Olmos,Sanofi,0,1,0,0,0,0
Fan,Wu,Sanofi,1,0,0,0,0,0
Peng,Zhang,CIMS Global,1,0,0,0,0,0
Elias Laurin,Meyer,Berry Consultants,1,0,0,0,0,0
Michal,Majka,Erste Group,0,1,0,0,0,0
Lorin,Towle-Miller,GSK,0,1,0,0,0,0
Nils,Penard,UCB,1,0,0,0,0,0
Marianne,Grinberg,UCB,0,1,0,0,0,0
Kristian,Brock,The George Institute for Global Health,1,0,0,0,0,1
Jeffrey,Long,GSK,1,0,0,0,0,0
Serene,Jiang,Johnson & Johnson,0,1,0,0,0,0
Lars,Andersen,Boehringer Ingelheim,1,0,0,0,0,0
Christian Haargaard,Olsen,Novo Nordisk,0,0,0,1,0,0
Simon,Clancy,Novo Nordisk,0,0,0,1,0,0
Thomas,Maltesen,Novo Nordisk,0,0,0,1,0,0
Matthew,Phelps,Novo Nordisk,0,0,0,1,0,0
Nicolai Skov,Johnsen,Novo Nordisk,0,0,0,1,0,0
Keovilay,Chanthavinout,Roche,0,0,0,1,0,0
Rajesh,Hagalwadi,MaxisIT,1,0,0,0,0,0
Kamil,Sijko,Transition Technologies Science,0,1,0,0,0,0
Claudia,Carlucci,Daiichi Sankyo,1,0,0,1,0,0
Sergei,Krivtov,Daiichi Sankyo,0,1,0,1,0,0
Adam,Omidpanah,BMS,1,0,0,0,0,0
Audrey,Yeo,Finc Research,1,0,0,0,0,0
Natalie,Dennis,Daiichi Sankyo,0,1,0,0,0,0
Tao,Jiang,Genentech,1,0,0,0,0,0
Pedro,Coutinho Silva,Jumping Rivers,0,1,0,0,0,0
Zhenglei,Gao,Bayer,1,0,0,0,0,0
Nan,Chen,Gilead Sciences,1,0,0,0,0,0
Hafsa,Aziz,Alpha Stats Ltd.,1,0,0,0,0,0
Dirk,Klingbiel,Priothera,1,0,0,0,0,0
Morten,Dreher,Winicker Norimed,1,0,0,0,0,0
